Wall time,Step,Value
1775143809.3475761,0,0.0
1775143922.8522906,100000,0.0
1775144040.2335105,200000,0.0
1775144196.268949,300000,0.0
1775144362.9634926,400000,0.0
1775144534.5927522,500000,0.0
1775144707.729448,600000,0.4898979365825653
1775144853.5491729,700000,0.5
1775144980.2639704,800000,0.0
1775145119.4147267,900000,0.4000000059604645
1775145301.1434705,1000000,0.0
1775145483.8243928,1100000,0.4898979365825653
1775145666.3691254,1200000,0.6324555277824402
1775145846.7141836,1300000,0.0
1775146026.6418338,1400000,0.4000000059604645
1775146209.0828037,1500000,2.190890312194824
1775146390.4689205,1600000,1.600000023841858
1775146575.398887,1700000,4.805205345153809
1775146750.9138968,1800000,0.4898979365825653
1775146934.7873251,1900000,0.4000000059604645
1775147125.707052,2000000,2.107130765914917
1775147315.0575607,2100000,3.176476001739502
1775147507.5702844,2200000,3.0919249057769775
1775147695.4834807,2300000,4.72122859954834
1775147890.0584397,2400000,7.189294338226318
1775148082.0427523,2500000,5.3888773918151855
1775148276.2201607,2600000,5.7523908615112305
1775148470.303336,2700000,4.267317771911621
1775148667.4569201,2800000,6.666333198547363
1775148869.4226727,2900000,6.184658527374268
1775149068.6415257,3000000,8.414273262023926
1775149270.1890419,3100000,5.699999809265137
1775149469.6768434,3200000,6.394528865814209
1775149677.1030834,3300000,5.276362419128418
1775149884.547367,3400000,6.300000190734863
1775150080.7511516,3500000,14.812494277954102
1775150283.4748232,3600000,8.576712608337402
1775150490.196029,3700000,9.623409271240234
1775150684.648313,3800000,9.531002044677734
1775150889.0887854,3900000,7.668115615844727
1775151085.2590911,4000000,12.721634864807129
1775151296.259482,4100000,7.029224872589111
1775151498.8172717,4200000,6.803675651550293
1775151709.7249398,4300000,2.190890312194824
1775151916.8995984,4400000,4.40908145904541
1775152128.3867397,4500000,6.34350061416626
1775152329.502214,4600000,1.5491933822631836
1775152542.9237154,4700000,5.19711446762085
1775152742.6470387,4800000,3.822303056716919
1775152931.7873251,4900000,2.0712316036224365
1775153129.6701586,5000000,5.866003513336182
1775153326.0387578,5100000,0.699999988079071
1775153516.7914717,5200000,1.2000000476837158
1775153711.042663,5300000,2.1656408309936523
1775153909.2231832,5400000,4.33704948425293
1775154101.360234,5500000,1.1135529279708862
1775154290.2231083,5600000,2.939387798309326
1775154478.227856,5700000,1.095445156097412
1775154665.5897872,5800000,1.2489995956420898
1775154852.548598,5900000,1.7999999523162842
1775155057.6712565,6000000,7.696731090545654
1775155258.3214128,6100000,6.917369365692139
1775155447.4395783,6200000,0.8944271802902222
1775155636.8631985,6300000,1.7435595989227295
1775155828.2649453,6400000,1.4177446365356445
1775156036.7531755,6500000,3.9446165561676025
1775156223.0467575,6600000,0.4898979365825653
1775156411.4260218,6700000,1.9595917463302612
1775156597.3515382,6800000,0.4898979365825653
1775156800.9352438,6900000,3.014962673187256
1775157009.1026533,7000000,2.9000000953674316
1775157222.1124127,7100000,3.4292855262756348
1775157419.834715,7200000,2.3151674270629883
1775157607.3360596,7300000,0.0
1775157796.05574,7400000,0.4472135901451111
1775158006.2555113,7500000,5.2735185623168945
1775158194.3892787,7600000,0.6633249521255493
1775158384.9884717,7700000,1.5491933822631836
1775158579.312192,7800000,0.800000011920929
1775158784.7018902,7900000,7.922121047973633
1775158977.494126,8000000,0.9165151119232178
1775159174.420831,8100000,1.6763054132461548
1775159369.4763181,8200000,1.7916473150253296
1775159573.3589995,8300000,1.4282857179641724
1775159772.6314158,8400000,2.3259406089782715
1775159973.891031,8500000,3.6180105209350586
1775160168.2290761,8600000,1.1357816457748413
1775160361.7433605,8700000,0.4000000059604645
1775160559.2843544,8800000,1.1135529279708862
1775160755.4124284,8900000,0.699999988079071
1775160960.4024565,9000000,0.4000000059604645
1775161164.0740716,9100000,0.0
1775161375.3249795,9200000,2.6851444244384766
1775161581.9399147,9300000,1.469693899154663
1775161798.099912,9400000,2.7495453357696533
1775161985.4725082,9500000,0.4000000059604645
1775162188.986968,9600000,2.8301942348480225
1775162379.9984567,9700000,1.4177446365356445
1775162572.420906,9800000,3.074085235595703
1775162763.681485,9900000,0.8999999761581421
1775162960.6873255,10000000,2.2825424671173096
1775163161.2754235,10100000,4.791659355163574
1775163351.5290663,10200000,0.9797958731651306
1775163543.9384894,10300000,0.6000000238418579
1775163740.7362163,10400000,5.153639316558838
1775163929.3816242,10500000,0.5
1775164119.4693427,10600000,0.30000001192092896
1775164311.65519,10700000,0.9797958731651306
1775164499.8547847,10800000,0.4898979365825653
1775164694.133589,10900000,0.0
1775164884.9643567,11000000,0.9165151119232178
1775165072.5579863,11100000,0.0
1775165259.7666013,11200000,0.4000000059604645
1775165451.6081643,11300000,0.8306623697280884
1775165637.726827,11400000,0.0
1775165829.2050426,11500000,1.0
1775166026.1382601,11600000,1.1357816457748413
1775166214.6142483,11700000,0.0
1775166405.239099,11800000,0.8999999761581421
1775166592.726025,11900000,0.0
1775166779.9833717,12000000,0.0
1775166967.4765916,12100000,0.0
1775167155.677419,12200000,0.0
1775167343.75043,12300000,0.0
1775167531.4441907,12400000,0.0
1775167744.9563022,12500000,9.474175453186035
1775167934.11033,12600000,0.4898979365825653
1775168122.599542,12700000,0.8999999761581421
1775168314.0424688,12800000,5.075430870056152
1775168503.127061,12900000,0.0
1775168697.6033633,13000000,4.582575798034668
1775168885.8371658,13100000,0.0
1775169074.111568,13200000,0.0
1775169262.8861353,13300000,0.0
1775169459.511473,13400000,8.30903148651123
1775169649.8786821,13500000,0.4898979365825653
1775169838.2550812,13600000,0.0
1775170026.4618444,13700000,0.30000001192092896
1775170215.9281952,13800000,0.4000000059604645
1775170403.1863108,13900000,0.30000001192092896
1775170591.544682,14000000,6.0
1775170786.6571271,14100000,0.30000001192092896
1775170974.5466676,14200000,0.0
1775171162.4269125,14300000,0.0
1775171350.7204351,14400000,0.0
1775171540.3716471,14500000,0.4582575559616089
1775171741.8964372,14600000,9.3525972366333
1775171929.819065,14700000,0.0
1775172118.9377346,14800000,0.0
1775172306.8118613,14900000,0.4000000059604645
1775172494.6872118,15000000,0.0
1775172682.2663658,15100000,0.0
1775172870.0671997,15200000,0.0
1775173058.2935727,15300000,0.0
1775173246.414202,15400000,0.0
1775173434.4986787,15500000,0.0
1775173622.1469786,15600000,0.0
1775173810.8984387,15700000,0.4000000059604645
1775173999.028394,15800000,0.0
1775174188.0992937,15900000,0.0
1775174376.3841228,16000000,0.4582575559616089
1775174564.6947496,16100000,0.30000001192092896
1775174752.9375017,16200000,0.0
1775174941.1510665,16300000,0.0
1775175130.1129053,16400000,0.4582575559616089
1775175318.867737,16500000,0.0
1775175508.8892603,16600000,0.4582575559616089
