Wall time,Step,Value
1775189328.9024012,0,2.701171636581421
1775189496.915662,100000,2.730747699737549
1775189757.2502103,200000,4.296026229858398
1775190026.0776086,300000,3.5450923442840576
1775190297.3768694,400000,3.6636719703674316
1775190564.563114,500000,2.732417106628418
1775190836.0299199,600000,3.4553563594818115
1775191109.2989044,700000,2.9320619106292725
1775191385.547477,800000,2.946322202682495
1775191668.097413,900000,4.319770812988281
1775191952.0934455,1000000,2.528646230697632
1775192236.187736,1100000,3.4588892459869385
1775192519.445226,1200000,3.6086394786834717
1775192803.783948,1300000,3.4403340816497803
1775193081.5520809,1400000,2.646376609802246
1775193350.6211169,1500000,2.420464038848877
1775193645.446479,1600000,2.5125694274902344
1775193943.2715874,1700000,3.500162124633789
1775194237.1952064,1800000,3.9291110038757324
1775194528.6589725,1900000,3.592689275741577
1775194813.381019,2000000,3.077859401702881
1775195065.527707,2100000,2.108686923980713
1775195325.457892,2200000,2.4007885456085205
1775195573.8974893,2300000,2.4500949382781982
1775195836.3660018,2400000,3.104078531265259
1775196105.585808,2500000,4.454672336578369
1775196414.7176204,2600000,2.9266414642333984
1775196723.3779771,2700000,3.1084961891174316
1775197035.583317,2800000,3.489417791366577
1775197323.860335,2900000,4.346235752105713
1775197589.0500846,3000000,2.4883766174316406
1775197878.5151846,3100000,3.5473077297210693
1775198173.1800554,3200000,3.1065030097961426
1775198467.2274916,3300000,1.8092981576919556
1775198763.9002688,3400000,3.3666374683380127
1775199059.1247616,3500000,5.222601413726807
1775199361.8095164,3600000,4.542689323425293
1775199653.7810066,3700000,3.8210930824279785
1775199959.437833,3800000,4.267813205718994
1775200250.358836,3900000,3.898221969604492
1775200537.4675894,4000000,4.068591117858887
1775200814.778574,4100000,3.4430315494537354
1775201092.200893,4200000,4.24965238571167
1775201371.8430421,4300000,3.380810499191284
1775201649.4475813,4400000,3.0654807090759277
1775201926.6744435,4500000,3.467802047729492
1775202202.602631,4600000,3.029893159866333
1775202478.475556,4700000,3.862879753112793
1775202756.1136324,4800000,2.790397882461548
1775203006.1633732,4900000,3.3628859519958496
1775203239.3979275,5000000,2.999049186706543
1775204569.5795557,5100000,2.8918776512145996
1775204853.0251405,5200000,3.036900281906128
1775205101.815186,5300000,3.518573760986328
1775205351.006527,5400000,3.609170913696289
1775205595.6462784,5500000,3.9893884658813477
1775205840.9019303,5600000,4.013407230377197
1775206083.3107896,5700000,3.459527015686035
1775206334.92262,5800000,4.323882102966309
1775206572.7490056,5900000,3.6776883602142334
1775206809.4325435,6000000,3.2385871410369873
1775207051.6571574,6100000,2.544538974761963
1775207317.6311784,6200000,5.222236633300781
1775207608.7122886,6300000,6.5289788246154785
1775207901.7223387,6400000,8.831902503967285
1775208153.832823,6500000,5.224219799041748
1775208380.2522752,6600000,7.204794406890869
1775208606.027813,6700000,5.954472064971924
1775208833.354683,6800000,9.090746879577637
1775209057.6387975,6900000,6.78157377243042
1775209281.161735,7000000,7.115373134613037
1775209508.2851422,7100000,11.268895149230957
1775209733.6859715,7200000,9.743889808654785
1775209959.236857,7300000,9.021315574645996
1775210183.4008949,7400000,9.513108253479004
1775210405.2424335,7500000,6.564013481140137
1775210631.2067335,7600000,8.1259126663208
1775210862.5707462,7700000,11.859576225280762
1775211089.58849,7800000,12.253939628601074
1775211313.7072818,7900000,10.695341110229492
1775211539.7039626,8000000,12.975290298461914
1775211765.882507,8100000,12.425924301147461
1775211990.6911216,8200000,11.82558822631836
1775212216.9874334,8300000,13.787040710449219
1775212445.627318,8400000,15.7465238571167
1775212675.239838,8500000,16.752336502075195
1775212903.983206,8600000,16.717790603637695
1775213132.2420864,8700000,16.572547912597656
1775213364.1136072,8800000,19.359132766723633
1775213592.3405676,8900000,16.034034729003906
1775213822.5339823,9000000,18.015949249267578
1775214055.9469426,9100000,21.31019401550293
1775214285.317297,9200000,17.18513298034668
1775214518.2099898,9300000,21.100418090820312
1775214753.5678833,9400000,22.207441329956055
1775214985.9403293,9500000,20.420854568481445
1775215219.6295629,9600000,20.62590980529785
1775215453.0051155,9700000,20.821136474609375
1775215686.608516,9800000,20.246503829956055
1775215917.440066,9900000,18.662883758544922
1775216148.7591178,10000000,18.705381393432617
1775216387.685495,10100000,21.578632354736328
1775216625.846827,10200000,21.047285079956055
1775216861.1857407,10300000,23.248483657836914
1775217098.1564856,10400000,24.022993087768555
1775217330.620022,10500000,21.027889251708984
1775217566.8856826,10600000,23.824140548706055
1775217802.0001447,10700000,21.746458053588867
1775218037.9849832,10800000,24.17647933959961
1775218274.9864511,10900000,24.879146575927734
1775218509.5683267,11000000,22.214025497436523
1775218742.8236358,11100000,18.225875854492188
1775218979.1510067,11200000,23.416349411010742
1775219218.3915606,11300000,27.331806182861328
1775219454.5828447,11400000,24.54849624633789
1775219689.716611,11500000,23.33595848083496
1775219924.6079254,11600000,23.094005584716797
1775220163.8120139,11700000,23.09164810180664
1775220407.1684515,11800000,27.67216682434082
1775220641.717774,11900000,22.35403823852539
1775220880.313877,12000000,26.70073699951172
1775221117.3026276,12100000,24.428312301635742
1775221367.177292,12200000,24.345001220703125
1775221602.7117898,12300000,24.326826095581055
